0	0.987524	0.302845	0.505877
0.01	0.97548	0.305659	0.489006
0.02	0.963846	0.30844	0.472933
0.03	0.9526	0.311185	0.457607
0.04	0.941722	0.313893	0.442982
0.05	0.931193	0.316563	0.429016
0.06	0.920996	0.319194	0.415669
0.07	0.911116	0.321785	0.402903
0.08	0.901536	0.324335	0.390685
0.09	0.892243	0.326843	0.378982
0.1	0.883224	0.329311	0.367765
0.11	0.874466	0.331736	0.357006
0.12	0.865959	0.33412	0.346681
0.13	0.85769	0.336462	0.336764
0.14	0.849651	0.338762	0.327235
0.15	0.84183	0.34102	0.318071
0.16	0.834221	0.343236	0.309254
0.17	0.826812	0.345412	0.300767
0.18	0.819598	0.347546	0.292591
0.19	0.81257	0.349639	0.284711
0.2	0.80572	0.351693	0.277114
0.21	0.799043	0.353706	0.269783
0.22	0.792532	0.35568	0.262708
0.23	0.78618	0.357614	0.255875
0.24	0.779982	0.35951	0.249274
0.25	0.773932	0.361368	0.242893
0.26	0.768025	0.363187	0.236723
0.27	0.762256	0.36497	0.230753
0.28	0.75662	0.366716	0.224976
0.29	0.751113	0.368426	0.219383
0.3	0.745731	0.3701	0.213965
0.31	0.740469	0.371739	0.208716
0.32	0.735323	0.373343	0.203628
0.33	0.730289	0.374913	0.198694
0.34	0.725365	0.376449	0.193909
0.35	0.720546	0.377952	0.189266
0.36	0.71583	0.379422	0.18476
0.37	0.711212	0.380861	0.180385
0.38	0.706691	0.382267	0.176136
0.39	0.702263	0.383643	0.172009
0.4	0.697925	0.384988	0.167998
0.41	0.693675	0.386303	0.1641
0.42	0.68951	0.387588	0.160311
0.43	0.685428	0.388845	0.156625
0.44	0.681426	0.390072	0.15304
0.45	0.677503	0.391272	0.149553
0.46	0.673655	0.392444	0.146158
0.47	0.669881	0.393588	0.142855
0.48	0.666179	0.394706	0.139638
0.49	0.662547	0.395798	0.136506
0.5	0.658982	0.396864	0.133456
0.51	0.655484	0.397904	0.130484
0.52	0.65205	0.39892	0.127588
0.53	0.648679	0.399911	0.124766
0.54	0.645369	0.400878	0.122016
0.55	0.642119	0.401821	0.119335
0.56	0.638927	0.402742	0.11672
0.57	0.635791	0.403639	0.114171
0.58	0.63271	0.404514	0.111684
0.59	0.629683	0.405367	0.109259
0.6	0.626708	0.406198	0.106892
0.61	0.623784	0.407008	0.104583
0.62	0.620911	0.407797	0.102329
0.63	0.618086	0.408566	0.10013
0.64	0.615308	0.409315	0.0979828
0.65	0.612577	0.410044	0.0958867
0.66	0.609892	0.410753	0.0938401
0.67	0.60725	0.411444	0.0918415
0.68	0.604652	0.412116	0.0898897
0.69	0.602096	0.412769	0.0879832
0.7	0.599581	0.413405	0.086121
0.71	0.597107	0.414023	0.0843017
0.72	0.594672	0.414623	0.0825242
0.73	0.592275	0.415207	0.0807874
0.74	0.589916	0.415774	0.0790901
0.75	0.587594	0.416324	0.0774313
0.76	0.585309	0.416858	0.0758101
0.77	0.583058	0.417377	0.0742253
0.78	0.580842	0.41788	0.0726762
0.79	0.578659	0.418367	0.0711617
0.8	0.57651	0.41884	0.0696809
0.81	0.574393	0.419298	0.068233
0.82	0.572308	0.419742	0.0668172
0.83	0.570254	0.420172	0.0654327
0.84	0.56823	0.420588	0.0640786
0.85	0.566235	0.42099	0.0627542
0.86	0.56427	0.421379	0.0614588
0.87	0.562333	0.421755	0.0601917
0.88	0.560425	0.422118	0.0589521
0.89	0.558543	0.422468	0.0577395
0.9	0.556689	0.422806	0.0565531
0.91	0.554861	0.423132	0.0553923
0.92	0.553058	0.423446	0.0542565
0.93	0.551281	0.423748	0.0531451
0.94	0.549528	0.424039	0.0520575
0.95	0.5478	0.424319	0.0509932
0.96	0.546096	0.424588	0.0499516
0.97	0.544415	0.424846	0.0489322
0.98	0.542757	0.425093	0.0479345
0.99	0.541121	0.42533	0.0469579
1	0.539507	0.425557	0.046002
1.01	0.537915	0.425774	0.0450663
1.02	0.536344	0.425981	0.0441503
1.03	0.534794	0.426178	0.0432536
1.04	0.533264	0.426366	0.0423758
1.05	0.531755	0.426545	0.0415164
1.06	0.530265	0.426715	0.040675
1.07	0.528794	0.426876	0.0398512
1.08	0.527342	0.427028	0.0390446
1.09	0.525909	0.427171	0.0382548
1.1	0.524495	0.427307	0.0374814
1.11	0.523098	0.427434	0.0367242
1.12	0.521718	0.427553	0.0359826
1.13	0.520356	0.427664	0.0352564
1.14	0.519011	0.427768	0.0345453
1.15	0.517683	0.427864	0.0338489
1.16	0.516371	0.427952	0.0331669
1.17	0.515076	0.428033	0.0324989
1.18	0.513796	0.428107	0.0318447
1.19	0.512531	0.428175	0.031204
1.2	0.511282	0.428235	0.0305764
1.21	0.510048	0.428289	0.0299618
1.22	0.508829	0.428336	0.0293597
1.23	0.507624	0.428376	0.02877
1.24	0.506434	0.428411	0.0281924
1.25	0.505257	0.428439	0.0276265
1.26	0.504095	0.428461	0.0270723
1.27	0.502946	0.428477	0.0265294
1.28	0.50181	0.428488	0.0259975
1.29	0.500687	0.428492	0.0254765
1.3	0.499578	0.428491	0.0249661
1.31	0.49848	0.428485	0.0244661
1.32	0.497396	0.428473	0.0239763
1.33	0.496324	0.428457	0.0234964
1.34	0.495263	0.428435	0.0230263
1.35	0.494215	0.428408	0.0225657
1.36	0.493178	0.428376	0.0221144
1.37	0.492153	0.428339	0.0216723
1.38	0.491139	0.428298	0.0212391
1.39	0.490137	0.428252	0.0208148
1.4	0.489145	0.428201	0.020399
1.41	0.488164	0.428146	0.0199916
1.42	0.487193	0.428087	0.0195924
