1.12	3.858
1.13	3.86007
1.14	3.86206
1.15	3.86395
1.16	3.86576
1.17	3.8675
1.18	3.86915
1.19	3.87074
1.2	3.87226
1.21	3.87371
1.22	3.87509
1.23	3.87642
1.24	3.87769
1.25	3.8789
1.26	3.88006
1.27	3.88116
1.28	3.88222
1.29	3.88323
1.3	3.8842
1.31	3.88513
1.32	3.88601
1.33	3.88685
1.34	3.88766
1.35	3.88843
1.36	3.88917
1.37	3.88987
1.38	3.89054
1.39	3.89118
1.4	3.8918
1.41	3.89238
1.42	3.89295
1.43	3.89348
1.44	3.89399
1.45	3.89448
1.46	3.89495
1.47	3.89539
1.48	3.89582
1.49	3.89623
1.5	3.89661
1.51	3.89699
1.52	3.89734
1.53	3.89768
1.54	3.898
1.55	3.89831
1.56	3.89861
1.57	3.89889
1.58	3.89916
1.59	3.89942
1.6	3.89966
1.61	3.8999
1.62	3.90012
1.63	3.90033
1.64	3.90054
1.65	3.90073
1.66	3.90092
1.67	3.9011
1.68	3.90127
1.69	3.90143
1.7	3.90159
1.71	3.90173
1.72	3.90188
1.73	3.90201
1.74	3.90214
1.75	3.90226
1.76	3.90238
1.77	3.90249
1.78	3.9026
1.79	3.9027
1.8	3.9028
1.81	3.90289
1.82	3.90298
1.83	3.90307
1.84	3.90315
1.85	3.90323
1.86	3.9033
1.87	3.90337
1.88	3.90344
1.89	3.90351
1.9	3.90357
1.91	3.90363
1.92	3.90368
1.93	3.90374
1.94	3.90379
1.95	3.90384
1.96	3.90388
1.97	3.90393
1.98	3.90397
1.99	3.90401

0	1.10729
0.01	1.21311
0.02	1.31561
0.03	1.41355
0.04	1.50634
0.05	1.59387
0.06	1.67633
0.07	1.75407
0.08	1.82749
0.09	1.89703
0.1	1.96305
0.11	2.02592
0.12	2.08594
0.13	2.14339
0.14	2.19851
0.15	2.25149
0.16	2.30252
0.17	2.35176
0.18	2.39933
0.19	2.44536
0.2	2.48995
0.21	2.53318
0.22	2.57514
0.23	2.61589
0.24	2.6555
0.25	2.69402
0.26	2.7315
0.27	2.76798
0.28	2.80349
0.29	2.83808
0.3	2.87177
0.31	2.9046
0.32	2.93658
0.33	2.96774
0.34	2.9981
0.35	3.02767
0.36	3.05648
0.37	3.08455
0.38	3.11188
0.39	3.13849
0.4	3.1644
0.41	3.18962
0.42	3.21416
0.43	3.23803
0.44	3.26124
0.45	3.28381
0.46	3.30574
0.47	3.32705
0.48	3.34775
0.49	3.36785
0.5	3.38735
0.51	3.40627
0.52	3.42463
0.53	3.44242
0.54	3.45967
0.55	3.47638
0.56	3.49256
0.57	3.50822
0.58	3.52338
0.59	3.53804
0.6	3.55222
0.61	3.56592
0.62	3.57917
0.63	3.59196
0.64	3.60431
0.65	3.61624
0.66	3.62774
0.67	3.63884
0.68	3.64954
0.69	3.65986
0.7	3.6698
0.71	3.67938
0.72	3.6886
0.73	3.69748
0.74	3.70603
0.75	3.71425
0.76	3.72216
0.77	3.72977
0.78	3.73709
0.79	3.74412
0.8	3.75087
0.81	3.75737
0.82	3.7636
0.83	3.76959
0.84	3.77534
0.85	3.78086
0.86	3.78615
0.87	3.79123
0.88	3.79611
0.89	3.80078
0.9	3.80527
0.91	3.80956
0.92	3.81369
0.93	3.81764
0.94	3.82142
0.95	3.82505
0.96	3.82852
0.97	3.83185
0.98	3.83504
0.99	3.83809
1	3.84102
1.01	3.84382
1.02	3.8465
1.03	3.84906
1.04	3.85152
1.05	3.85387
